Pgroup	Pname
GROATS_RICE_PASTA	RYZ SARITA BIALY DLUGOZIAR KAR
ICE_CREAMS_FROZEN	LODY NOGGER TOFI KARMEL
SWEETS	WAFLE DESIMO KAKAOWE
SWEETS	WAFLE GORALKI ARACHID
DAIRY_CHESSE	GOS MLEKO ZAGESZCZ GOSTYN
DAIRY_CHESSE	DANIO WARSTWY
CIGARETTES	PAP BLU LINK
DRINK_JUICE	WODA PRIMAVERA GAZ
DRINK_JUICE	ZBYSZKO LIMONKI GAZ
VODKA_ALCOHOL	NAP SPIR ABSOLWENT SLIWKA
FISH	MAKRELA CIESCIE LUZ
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	HELLENA GRUSZKA GAZ
CHEMISTRY	RECZNIK PAPIEROWY MEA
GROATS_RICE_PASTA	ROGAL DAYS ORZECH
GENERAL	MAKA AMARANTUSA
CHIPS_FLAKES	LAYS STIX
CHIPS_FLAKES	PIANKA PUF SZT
WINE_ALCOHOL 18%	SZAMPAN SOWIETSKOJE IGRIST
SWEETS	MILKA CZEK NADZ
BEER	PIWO KSIAZECE PSZENICZNE ZWR
GROATS_RICE_PASTA	RYZ SONKO
MEAT	KOLBACZ WEGIERSKI
CHEMISTRY	NIVEA SZAMPIN
CHIPS_FLAKES	LAYS CHETOS CHRUPKI
BEER	PIWO KOZEL
ICE_CREAMS_FROZEN	LODY PINGWIN CZEKOL
DAIRY_CHESSE	PLATKI CORN FLAKES CHOCO
CANNED_PATE	PROFI PASZTET PAPRYKA
PACKAGES	BUTELKA
CIGARETTES	PAP PAL MAL MINT
SWEETS	WEDEL PAWELEK ADVOCAT
BREAD	CHLEB ZIARNISTY KROJONY
DAIRY_CHESSE	ECZKI KUKURYDZIANE
CHEMISTRY	PASTA ELMEX PLYN
ICE_CREAMS_FROZEN	LODY GRAND GOLD PANA COTA
SWEETS	WAFLE GORALKI CZEKOLADA
DAIRY_CHESSE	SER PLASTRY GOUDA LACTIMA
SWEETS	BARON BOMBONIERKA
CHEMISTRY	ODSWIEZACZ ZAPAS SZYSZKA
BREAD	CHLEB KROJONY
SWEETS	GRZESKI GOFROWE CZEKOLADA
BREAD	BULKA SOJOWA
CIGARETTES	PAP MENTHOL SUPER SLIM
COOKIES_BULK	CUKIERKI TOFFIX MIX IGLO
VEGETABLES	RUCOLA
ICE_CREAMS_FROZEN	WLOSZCZYZNA PASKI NORDIS
DAIRY_CHESSE	NAP TYMBARK KART
COFFEE TEA	KAWA ASTRA MIELONA
COOKIES_BULK	WAFLE CHRUPS LUMARKI GRZESKI
ICE_CREAMS_FROZEN	LODY ROZEK MLYNARCZYK
CHEMISTRY	SZAMPON CZARNA RZEPA EVA NATURE
FISH	FILETY SLEDZIOWE POMIDZ
ICE_CREAMS_FROZEN	LODY ICE FRESH
SPICES	PRYMAT PIETRUSZKA NATKA
GENERAL	KRAKUS GULASZ ANGIELSKI
SPICES	PRYMAT STEK PRZYPRAWA
GENERAL_FOOD	LOWICZ DZEM KIWI
ICE_CREAMS_FROZEN	LODY COFFE LATTE
GENERAL_FOOD	KNORR SOS PIECZENI CIEMNY
GENERAL_FOOD	OGORKI MALOSOLNE LUZ
DAIRY_CHESSE	DESER JANA CZEKOLADOWY
GROATS_RICE_PASTA	WAFLE SUNNY CEBULA
DAIRY_CHESSE	DANONKI TRUSKAWE
CHEMISTRY	BREF ZEL
CHIPS_FLAKES	STAR CHIPS KEBAB
CIGARETTES	PAP PAL MAL BLUE
MEAT	SZYNKA WIELKOPOLSKA
SWEETS	PRINCE POLO MINI CLASIC
DAIRY_CHESSE	MLEKO LACIATE
SPICES	KAMIS BAZYLIA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	POMPKA PLAY DOLADOWANIE
COOKIES_BULK	CUKIERKI VOBRO CZEKOL LUZ
MEAT	SZYNKA CHLEBOWA
DRINK_JUICE	NAP LEMON
OCCASIONAL	BROS PACKI MUCHY
BEER	PIWO WSZELKA CENE
SPICES	PRYMAT ANYZ
GENERAL_FOOD	WIN ZUPA ZUREK
BREAD	ROGALE MARCINKOWSKIE
CHEMISTRY	PAPIER TOAL SZT MEA NIEB
WINE_ALCOHOL 18%	WINO GRENACHE ROZE PŁL ODKIE
DAIRY_CHESSE	ALMETTE CZOSNEK NIEDZWIEDZI
DAIRY_CHESSE	HOCHL SZCZYP CEB BLOK TOPIONY
BEER	PIWO LOMZA BUT BEZW
CHIPS_FLAKES	ROGAL DAYS BERSETO
GENERAL_FOOD	ZUPA PIECZARKOWA AMINO
CIGARETTES	PAP ROTHMANS BLU
CHIPS_FLAKES	CIASTKA PRYNCYPALKI KOKOS
COFFEE TEA	KAWA CAFE PREMIUM
OILS	MAR SNIADANIOWA
ICE_CREAMS_FROZEN	FRYTKI AVIKO
GROATS_RICE_PASTA	MAKARON CZANIECKI NITKA WALCOWANA
BREAD	CHLEB RUSTYKALNY
DAIRY_CHESSE	SER MLEKPOL GOUDA PLASTRY
SWEETS	PETITKI TRUSKAWKA
FISH	FILETY SARDYNKI OLEJU SKARBY
CHEMISTRY	DRUCIAK SPIRALNY
DAIRY_CHESSE	MLEKO LACIATE
DAIRY_CHESSE	JOGOBELA ZBOZAMI
GENERAL_FOOD	MAK LUBELLA SWIDEREK DUZY
CHEMISTRY	WIN GALARETKA TRUSKAWKOWA PIANKA
DAIRY_CHESSE	JOGOBELA ZBOZA
CHIPS_FLAKES	LAYS STAR ROZKI ROZKI
GENERAL_FOOD	WIN GALARETKA CYTRYNOWA
OCCASIONAL	BATERIA WARTA SZT
COFFEE TEA	PRIMA MIELONA
CIGARETTES	MASCOTTTE BIBULKA SZT
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	OLEJ NIEZBEDNY
DAIRY_CHESSE	FANTAZIA BRZOSKWINIA
BREAD	CIASTKA KRUCHPLACEK DROZDZOWY
WINE_ALCOHOL 18%	WINO TOTINO MOJITO
GROATS_RICE_PASTA	MAK LUBELLA ZIARNO SWIDERKI
OILS	MAR PALMA BIELMAR MURZYNKIEM
COFFEE TEA	KAWA ASTRA MIELONA
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
CHEMISTRY	SOFTLAN PLYN PLUKANIA BIALY
GROATS_RICE_PASTA	MAKA ZIEMNIACZANA
GENERAL_FOOD	WAFLE PRINCESA ROZNE
GENERAL_FOOD	PLATKI OWSIAN GORSKIE
SWEETS	GOPL CZEKOLADA NADZ KARMEL
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	SALATKA SLONECZNY OGROD
CHIPS_FLAKES	LAYS BAZYLIOWE PESTO
DAIRY_CHESSE	JOGURT MULLER
BEER	PIWO ZUBR BUTELKA
DRINK_JUICE	WODA KROPLA BESKIDU GAZ
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	HELLENA ORENZADA CZERWONA
COOKIES_BULK	WATA CUKROWA
VEGETABLES	KOPEREK ZIELONY
ICE_CREAMS_FROZEN	LODY MAGNUM CLASSIC
CHEMISTRY	WKLADKI PANTY INTIMA
GENERAL	KUBUS MULTIWITAMINA
GROATS_RICE_PASTA	MAKA TORTOWA BASIA
GENERAL_FOOD	KIELBASA BIA PARZONA
CHEMISTRY	RECZNIK PAPIEROWY MEA
COFFEE TEA	KAKAO NESQUIK NESTLE
SWEETS	GOPL FIGURKI
VODKA_ALCOHOL	NAP SPIR SOPLICA ORZECH LASKOWY
DRINK_JUICE	WODA CISOWIANKA
ICE_CREAMS_FROZEN	BUKIET KROLEWSKI NORDIS
DRINK_JUICE	KUBUS MAR MALIN JABLKO
GENERAL_FOOD	SMAK MAK SMALEC CZYSTY
DAIRY_CHESSE	HOCH TWAR KANAPKOWY SZCZYPIOREK
CHIPS_FLAKES	WAFLE RYZOWE RYZ DZIKI
CHEMISTRY	RECZNIK KUCHENNY
GROATS_RICE_PASTA	MAKA KOSZALINSKA STOISLAW
ART._HYGIENIC	WATA BAWELNIANA BELLA
DAIRY_CHESSE	DROZDZE BABUNI ROTEX
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	POMIDORY DAWTONA SKORKI KROJONE
CHEMISTRY	KUSCHELWEICH NIEBIESKI PLUKANI
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN MAJONEZ
VEGETABLES	SELER LUZ
CANNED_PATE	PASZTET DROBIOWY DROP
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KNORR DELIKAT UNIWERSALNA
SWEETS	SEKACZ TOFFI
CHEWING_GUM_LOLIPOPS	GUMA ORBIT WHIT TOREBKA FRESH
CIGARETTES	PAP BLACK
CHEMISTRY	EWA SZAMOPN BRZOZA
SWEETS	CIASTECZKA MINIS CHOCO
VODKA_ALCOHOL	WODKA WALET
DAIRY_CHESSE	GOS MLEKO PUSZKA KRŁWKOWE ZAG
DAIRY_CHESSE	KEFIR KRASNYSLAW
COOKIES_BULK	CIASTKA TAGO MUZY
CHIPS_FLAKES	LAYS MAX SER ZIEL CEB
OILS	MAR PALMA KRUSZWICA
DAIRY_CHESSE	HOCHL KRAZEK SORTETT
SWEETS	CIASTKA KRAKUSKI MASLANE
DAIRY_CHESSE	SMALEC KOSTKA AGI
SPICES	KNORR GALKA MUSZK INDONEZJI
GENERAL_FOOD	KAKAO DEKOMORENO
CANNED_PATE	PASZTET DROBIOWY DROP
GROATS_RICE_PASTA	MAKARON KOLECZKI CZANIEC
ICE_CREAMS_FROZEN	PIZZA GUSTAVO
CIGARETTES	PAP CAMEL
SOCKS_THIGHTS	RAJSTOPY DEN
GENERAL_FOOD	MUSZTARDA SAREPSKA PEGAZ
OILS	MAR DELMA EXTRA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	MIOD WIELOKWIATOWY BASNIOWA PASI
ICE_CREAMS_FROZEN	WARZYWA PATELNIE
CIGARETTES	PAP LINK FORWARD
DRINK_JUICE	WODA ARCTIC MAGNEZ
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PUDL SOS SPAGH BOLONSKU
WINE_ALCOHOL 18%	WINO MUSUJACE MANGO
DRINK_JUICE	NAP TYMBARK KAKTUS
DRINK_JUICE	PEPSI
BREAD	BULKA GRAHAMKA ALPEJSKA
ICE_CREAMS_FROZEN	LAURKA
CHEWING_GUM_LOLIPOPS	MENTOS MINT
DRINK_JUICE	SYROP WISNIOWY OWICZ
GENERAL_FOOD	MAK LUBELLA SWIDEREK DUZY
SWEETS	LIZAK BALWANEK
SWEETS	ROGAL DAYS SZAMPANSKI
CANNED_PATE	PASZTET PROCHOWICK
BEER	PIWO BOJAN TOPOREK
GENERAL	BATERIA WARTA ALKAICZNA
GENERAL_FOOD	CUKIER TRZCINOWY SANTE
GENERAL_FOOD	ZUPA PIECZARKOWA NORDIS
SWEETS	WODA ZYWIEC POZIOMKA
VEGETABLES	CEBUL CZERWONNA MODRA
GENERAL	BUDYN SLODKA CHWILA CZEK WISNIA
CHEMISTRY	ACE LEMON
DRINK_JUICE	NAP AQA GAZ CYTR LIMONKA
DAIRY_CHESSE	SER BRIE TUREK NATURALNY
BEER	PIWO ZYWIEC PUSZKA
SWEETS	DRAZE SKAWA CZEKOL
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PUDL KONCENTRAT POMIDOROWY PUSZKA
ICE_CREAMS_FROZEN	LODY BIG MILK KOSTKA
CHIPS_FLAKES	PLATKI CHEERIOS MIODOWE
WINE_ALCOHOL 18%	WINO STAROPOLSKIE RENETA ODKIE
DRINK_JUICE	NAP HORTEX CZARNA PORZECZKA
GENERAL	MAKA GRYCZANA
DRINK_JUICE	LODY KOKTAILOWE
CHIPS_FLAKES	STAR PRAZYNKI SOLONE
BEER	PIWO WARKA RADLER PUSZKA
TABLETS	PLASTER ROLKA
ICE_CREAMS_FROZEN	WLOSZCZYZNA PASKI NORDIS
MEAT	KIE BASA OIKOWA
GENERAL_FOOD	DESER MONTE CZEKOL
GROATS_RICE_PASTA	MAKARON LUBELLA MUSZELKA DROBNA
VODKA_ALCOHOL	WHISKY JACK DANIELS
DRINK_JUICE	NAP NAPI BUT JAB MIETA
SPICES	CYKORIA CZOSNEK MIELONY
GENERAL_FOOD	KROKIETY KASZTELAN
SWEETS	ZELKI NIM SHOKI
ICE_CREAMS_FROZEN	PIZZA GUSTAVO
BEER	PIWO ZYWIEC PUSZKA
SWEETS	ZELKI JUMI
GENERAL_FOOD	MLEKO SMAKOWE POLMLEK
VEGETABLES	WINOGRONO ROZOWE
VEGETABLES	KAPUSTA MLODA KWASZONA LUZ
TABLETS	TABLETKI APAP SZT
GENERAL_FOOD	ROGAL DAYS
VODKA_ALCOHOL	NAP SPIR SOPLICA SLIWKOWA
CANNED_PATE	KOPYTKA TACKA GRZESKOWIAK
SWEETS	KUBUS BANAN TRUS
SPICES	KNORR PRZYPRAWA MIESA MIELONEGO
VEGETABLES	POR MLODA SZT
SWEETS	CIASTKA TAGUS TRUSKAWKA
DRINK_JUICE	KUBUS PLAY MAR TRUS LIMETKA
ICE_CREAMS_FROZEN	WARZYWA PATELNIE WIEJSKI NORDIS
COFFEE TEA	KAWA ZBOZOWA PORANNA
CIGARETTES	PAP SILVER
BEER	PIWO TATRA JASNE BUTELKA
CIGARETTES	PAP RED
CHEMISTRY	PASTA COLODENT SUP SWIEZOSC
GENERAL	SZNURA PLACKI ZIEMNIACZANE
SWEETS	CIASTKA JEZYKI CAFE
DAIRY_CHESSE	ALMETTE ZIOLOWY SEREK
ICE_CREAMS_FROZEN	LODY MAGNUM CLASSIC
BEER	PIWO LOMZA EXPORT BUT BEZ
DAIRY_CHESSE	ZELKI SERDUSZKA
MEAT	PAROWKOWA FOLI
CHIPS_FLAKES	STAR CHIPS SER POMIDOR
BEER	PIWO CAPTAIN JACK ALK
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KUBUS MARCHEW JABLKO MALINA
DRINK_JUICE	NAP JURAJSKA ORANZADA NIEBI GAZ
DRINK_JUICE	TARCZYN SOK POMARANCZ
VODKA_ALCOHOL	NAP SPIR KRAKOWSKA SLIWKA
GENERAL_FOOD	WIN POMYSL SPAG BOLONSKU
WINE_ALCOHOL 18%	WINO WALDWEIN BOROWKA SLODKIE
DAIRY_CHESSE	DANONKI WANILIOWE
CIGARETTES	PAP GOLD
GENERAL_FOOD	SKORUPKA BURACZKI MIAZGA
DAIRY_CHESSE	HOCHL PIECZARKA TOP BLOK
DAIRY_CHESSE	BAKOMA POLSKIE SMAKI GRUSZKA
CIGARETTES	GILZT GAPARD
DAIRY_CHESSE	ALE PITNY
GENERAL	ZUREK BUTELKA
SWEETS	HERBATNIK PETIT BEURRE JUTRZENKA
FISH	TUNCZYK OLEJU ORKA
DRINK_JUICE	NAP TYMBARK VITAMIN PET MAR
BREAD	CIASTKA FRANCUSKIE ROZNE LUZ
CHEMISTRY	MASZYNKA WILKINSON XTREME BEAUTY
BEER	PIWO ZAMKOWE BEZW
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN SOS TATARSKI
SWEETS	LIZAK DYNIA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PRZYPR WARZYWKO
WINE_ALCOHOL 18%	WINO SOAVE BILALE WYTR
SWEETS	SCHOGETTEN CZEKOL KIDS
BEER	PIWO OKOCIM PUSZKA WISNIA
CHEWING_GUM_LOLIPOPS	GUMA ROLL TATTOO
ICE_CREAMS_FROZEN	PIEROGI MIESEM NORDIS
DAIRY_CHESSE	TWAROG PRESIDENT SZCZYPIORKIEM
DAIRY_CHESSE	MLEKO CZEKOLADOWE
CIGARETTES	PAP MINT
ICE_CREAMS_FROZEN	LODY OSKAR SMIET CZEKOLADZIE
DRINK_JUICE	NAP MIRINDA
DAIRY_CHESSE	SMIETANA SREM
GENERAL	BERLISO TRUSKA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	HERBATNIKI FAMILIJNE MASLANE
BREAD	SKUBANIEC FOREMKA
SWEETS	PIERNIK KROLEWSKI KRAKUS
GENERAL	MLEKO KOKOSOWE BANAN
GROATS_RICE_PASTA	WAFLE SUNNY CEBULA
CIGARETTES	WODA AQA GAZ
DAIRY_CHESSE	SER PLASTRY MOZZARELLA LACTIMA
ICE_CREAMS_FROZEN	LODY SOLO POMARANCZOWY
GROATS_RICE_PASTA	MAKA KRUPCZATKA STOISLAW
CHEMISTRY	ZMYWACZ PAZNOKCI WIES
DAIRY_CHESSE	BITA SMIETANA AROZOL MLECZ ZAGRODA
DRINK_JUICE	NAP HORTEX POMARANCZOWY
SPICES	KAMIS SOL ZIOLOWA
DRINK_JUICE	WODA JURAJSKA JABLKO
CHEMISTRY	TAMPONY SZTEASY
CHIPS_FLAKES	PLATKI CHEERIOS MIODOWE
CIGARETTES	PAP RGD BLU
PET'S FOOD	KARMA DOG SUPREM
CIGARETTES	PAP MARLLBORO RED
DRINK_JUICE	NAP TYMBARK POM BRZOSK
VODKA_ALCOHOL	NAP SPIR ABSOLWENT WISNIA
DAIRY_CHESSE	SER TOP ZLOTY EMENTALER SERTOP
CHEMISTRY	DENATURAT BIALY
SPICES	KREM TORTOW SMIETANA CYKORIA
DAIRY_CHESSE	KEFIR SREMSKI
LUNCH DINING DISHES	GALAT WIEPRZOWY
ICE_CREAMS_FROZEN	BRUKSELKA
GENERAL	WAFLE RYZOWE CZEKOLADZIE MIECZ SOLA
ICE_CREAMS_FROZEN	LODY ROZEK CORNETTO
CANNED_PATE	BRZOSKWINIE SANDRA
TABLETS	TABLETKI CHOLINEX
GENERAL_FOOD	PYZY WIEJSAKIE DOLCZEWSKI
CIGARETTES	PAP RED
TABLETS	TABLETKI APAP EXTRA SZT
GENERAL_FOOD	PAPIER TOALETOWY MEA
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
CHEWING_GUM_LOLIPOPS	GUMA MAMBA DUO
FISH	SLEDZ POMID ORKA
SWEETS	BATON KNOPERS KOKOS
DRINK_JUICE	NAP FUZE TEA BRZOSKWINIA
GENERAL_FOOD	WIN POMYSL KLOPSIKI
DAIRY_CHESSE	SMIETANA SREM
SWEETS	PETITKI LUBISIE OWOCE LESNE
CHEMISTRY	PERWOL RENEW KOLOR
DRINK_JUICE	KUBUS MAR JAB MALINA
SWEETS	PRINCESSA ORANGE
ICE_CREAMS_FROZEN	BUKIET KROLEWSKI NORDIS
GENERAL_FOOD	WIN GALARETKA POMARANCZOWA
ICE_CREAMS_FROZEN	LODY MANGO
COFFEE TEA	HERBATA MINUTKA EARL GREY
CHEMISTRY	ZESZYT
PET'S FOOD	KARMA DOG SUPREME
BEER	PIWO KSIAZECE ZWROT CZERWONY
DAIRY_CHESSE	FRYTKI VIKO
SWEETS	WAFELEK PEPPA
VODKA_ALCOHOL	WODKA ZUBROWKA CZARNA
GENERAL_FOOD	WAFLE RYZOWE MUSLI BANA SONK
SWEETS	LAJKONIK JUNIOR SAFARI
ICE_CREAMS_FROZEN	WARZYWA PATELNIE CALFLOST
WINE_ALCOHOL 18%	WINO TOTINO GRANAT
GENERAL_FOOD	KRAKUS OGORKI KONS
DRINK_JUICE	NAP CAPRIO CZER POMARANCZA
GENERAL_FOOD	WIN ZUPA GROCHOWA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	CHRZAN TARTY VICTUS
CHEMISTRY	BREF KULKI
GROATS_RICE_PASTA	MAK SULMA NITKA ROSOLOWA
GENERAL_FOOD	WIN SOS GRZYBOWY
SWEETS	SPRAY PIANKA
SPICES	WIN KOSTKA MIESNA
DAIRY_CHESSE	PUDL POMIDORY KROJONE BAZYL OREG
GENERAL	MARYNATA KLASYCZNA
GENERAL_FOOD	PUDL FLAKI WIEPRZ ROSOLE
CHIPS_FLAKES	LORENZ PIECZ ZEBERKO
GENERAL_FOOD	NAP BAHAMA ANANAS
CHEMISTRY	GUMA ORBIT LIST
CIGARETTES	PAP MARLBORO GOLD MIEK
SWEETS	PRINCE POLO XXL MLECZNE
DRINK_JUICE	NAP TYMBARK SOK OCZ JAB
SWEETS	WAFLE SUCHE OWAL
DRINK_JUICE	WODA CISOWIANKA
WINE_ALCOHOL 18%	WINO SPECJAL ROSBERY
TABLETS	TABLETKI RENNIE ANTACIDUM MOCN MIETA
DRINK_JUICE	NAP JURAJSKA ORANZADA BIALA
GENERAL	GOLARKA VENUS SZT
FISH	SLEDZ MATIAS LUZ
DAIRY_CHESSE	HOCHL KANAPKOWY CZOSNEK ZIOLA
SWEETS	GRZESKI MEGA KAKAO
CIGARETTES	PAP BLACK
DRINK_JUICE	NAP SPRITE GAZ
SWEETS	BISZKOPTY WROCLAWSKIE
